place;allAbs;all;propertyAbs;property;violenceAbs;violence;drugsAbs;drugs;orderAbs;order;trafficAbs;traffic;otherAbs;other
I alt;343936;66;110394;21.2;34986;6.7;52765;10.1;38390;7.4;48974;9.4;58428;11.2
Hele landet;332141;63.7;101956;19.6;34673;6.6;52651;10.1;38210;7.3;48837;9.4;55815;10.7
Alle fylker;331936;63.7;101908;19.5;34661;6.6;52634;10.1;38188;7.3;48822;9.4;55724;10.7
Alle kommuner;331715;63.6;101867;19.5;34653;6.6;52622;10.1;38178;7.3;48804;9.4;55592;10.7
Østfold;20117;69.4;5258;18.1;2153;7.4;3203;11;2756;9.5;3152;10.9;3597;12.4
Halden;3402;111.4;601;19.7;342;11.2;641;21;566;18.5;473;15.5;780;25.5
Moss;2337;72.6;788;24.5;251;7.8;385;12;288;8.9;237;7.4;390;12.1
Sarpsborg;3312;60.6;969;17.7;371;6.8;518;9.5;447;8.2;527;9.6;481;8.8
Fredrikstad;5207;65.9;1651;20.9;580;7.3;807;10.2;647;8.2;703;8.9;820;10.4
Hvaler;271;60.1;94;20.8;35;7.8;24;5.3;19;4.2;31;6.9;71;15.7
Aremark;68;48.4;17;12.1;6;4.3;0;0;0;0;13;9.3;27;19.2
Marker;507;140.4;40;11.1;21;5.8;104;28.8;64;17.7;102;28.3;177;49
Rømskog;38;56.5;0;0;0;0;0;0;9;13.4;0;0;18;26.8
Trøgstad;386;72.2;39;7.3;37;6.9;75;14;128;24;40;7.5;68;12.7
Spydeberg;271;47.2;48;8.4;33;5.8;27;4.7;40;7;68;11.9;57;9.9
Askim;1000;64;248;15.9;145;9.3;135;8.6;159;10.2;139;8.9;176;11.3
Eidsberg;863;75.7;177;15.5;95;8.3;112;9.8;105;9.2;242;21.2;133;11.7
Skiptvet;137;36.6;28;7.5;16;4.3;20;5.3;14;3.7;32;8.6;28;7.5
Rakkestad;464;57.4;95;11.8;58;7.2;68;8.4;47;5.8;124;15.3;73;9
Råde;428;58.2;104;14.1;32;4.3;52;7.1;67;9.1;119;16.2;55;7.5
Rygge;962;62.2;282;18.2;80;5.2;192;12.4;113;7.3;136;8.8;160;10.4
Våler (Østf.);164;31.6;41;7.9;24;4.6;15;2.9;13;2.5;46;8.9;26;5
Hobøl;289;53.7;34;6.3;28;5.2;24;4.5;28;5.2;120;22.3;57;10.6
Uoppgitt kommune Østfold;14;0;0;0;0;0;0;0;0;0;0;0;6;0
Akershus;35561;59.8;11040;18.6;2989;5;6517;11;3611;6.1;6082;10.2;5323;9
Vestby;860;51.4;262;15.7;86;5.1;126;7.5;81;4.8;139;8.3;167;10
Ski;2017;66.7;703;23.2;153;5.1;242;8;177;5.8;462;15.3;281;9.3
Ås;1274;67.1;413;21.7;100;5.3;189;10;124;6.5;287;15.1;161;8.5
Frogn;660;42.1;151;9.6;71;4.5;68;4.3;45;2.9;220;14;106;6.8
Nesodden;632;33.9;185;9.9;68;3.7;96;5.2;77;4.1;66;3.5;140;7.5
Oppegård;1319;49.2;444;16.6;87;3.2;141;5.3;80;3;392;14.6;176;6.6
Bærum;6009;49.1;2293;18.7;456;3.7;1019;8.3;514;4.2;692;5.7;1037;8.5
Asker;2573;42.8;876;14.6;224;3.7;455;7.6;245;4.1;375;6.2;398;6.6
Aurskog-Høland;661;41.5;143;9;79;5;95;6;71;4.5;134;8.4;139;8.7
Sørum;654;37.5;173;9.9;51;2.9;115;6.6;45;2.6;160;9.2;111;6.4
Fet;530;46.6;104;9.1;69;6.1;103;9.1;41;3.6;111;9.8;104;9.1
Rælingen;1073;61.6;147;8.4;75;4.3;151;8.7;62;3.6;508;29.2;131;7.5
Enebakk;429;39.5;81;7.5;51;4.7;66;6.1;50;4.6;91;8.4;91;8.4
Lørenskog;2226;61.2;834;22.9;222;6.1;399;11;187;5.1;261;7.2;325;8.9
Skedsmo;4575;87.1;1475;28.1;436;8.3;730;13.9;734;14;558;10.6;643;12.2
Nittedal;1035;45.3;202;8.8;89;3.9;191;8.4;89;3.9;317;13.9;149;6.5
Gjerdrum;146;23.1;38;6;21;3.3;11;1.7;24;3.8;22;3.5;31;4.9
Ullensaker;6313;184.7;1925;56.3;357;10.4;1897;55.5;710;20.8;772;22.6;654;19.1
Nes (Ak.);837;40.3;208;10;83;4;151;7.3;110;5.3;112;5.4;174;8.4
Eidsvoll;1174;49.3;267;11.2;126;5.3;198;8.3;102;4.3;296;12.4;185;7.8
Nannestad;428;34.9;89;7.3;69;5.6;68;5.5;38;3.1;77;6.3;89;7.3
Hurdal;109;38.4;23;8.1;19;6.7;10;3.5;9;3.2;28;9.9;22;7.8
Uoppgitt kommune Akershus;34;0;8;0;0;0;0;0;0;0;8;0;14;0
Oslo kommune;66663;101.3;27656;42;6897;10.5;7485;11.4;8985;13.6;4675;7.1;10967;16.7
Hedmark;12074;61.8;2833;14.5;1056;5.4;1721;8.8;1279;6.5;3040;15.6;2147;11
Kongsvinger;1155;64.8;263;14.7;161;9;178;10;172;9.6;155;8.7;227;12.7
Hamar;2041;67.8;763;25.3;190;6.3;351;11.7;216;7.2;198;6.6;324;10.8
Ringsaker;1307;38.9;305;9.1;119;3.5;285;8.5;88;2.6;215;6.4;296;8.8
Løten;685;90.3;79;10.4;38;5;64;8.4;32;4.2;425;56;48;6.3
Stange;1215;60.4;209;10.4;89;4.4;156;7.8;189;9.4;417;20.7;156;7.8
Nord-Odal;222;43.3;64;12.5;18;3.5;15;2.9;76;14.8;24;4.7;26;5.1
Sør-Odal;340;43;65;8.2;35;4.4;46;5.8;23;2.9;115;14.6;58;7.3
Eidskog;527;85.8;76;12.4;38;6.2;79;12.9;53;8.6;139;22.6;144;23.4
Grue;225;47.2;49;10.3;23;4.8;31;6.5;24;5;43;9;57;12
Åsnes;366;49.1;88;11.8;44;5.9;42;5.6;41;5.5;58;7.8;94;12.6
Våler (Hedm.);226;60.1;58;15.4;21;5.6;32;8.5;32;8.5;32;8.5;53;14.1
Elverum;1932;91.9;364;17.3;155;7.4;246;11.7;159;7.6;626;29.8;382;18.2
Trysil;623;95.5;201;30.8;42;6.4;77;11.8;95;14.6;117;17.9;91;13.9
Åmot;205;46.3;73;16.5;22;5;26;5.9;19;4.3;25;5.6;41;9.3
Stor-Elvdal;264;101.5;37;14.2;17;6.5;38;14.6;12;4.6;123;47.3;37;14.2
Rendalen;80;42.5;23;12.2;5;2.7;6;3.2;0;0;22;11.7;21;11.2
Engerdal;53;40.6;14;10.7;6;4.6;0;0;8;6.1;9;6.9;15;11.5
Tolga;33;20.4;6;3.7;5;3.1;0;0;0;0;6;3.7;9;5.6
Tynset;289;51.8;66;11.8;20;3.6;31;5.6;20;3.6;110;19.7;43;7.7
Alvdal;209;86.2;15;6.2;6;2.5;7;2.9;0;0;165;68;13;5.4
Folldal;40;25.1;10;6.3;0;0;9;5.7;6;3.8;8;5;8;5
Os (Hedm.);37;18.9;8;4.1;5;2.6;0;0;0;0;11;5.6;7;3.6
Uoppgitt kommune Hedmark;6;0;0;0;0;0;0;0;0;0;0;0;0;0
Oppland;8388;44.4;1891;10;894;4.7;1330;7;835;4.4;1883;10;1557;8.2
Lillehammer;1363;49.6;428;15.6;131;4.8;274;10;156;5.7;197;7.2;178;6.5
Gjøvik;1839;61;474;15.7;184;6.1;342;11.3;213;7.1;317;10.5;311;10.3
Dovre;149;55.2;23;8.5;10;3.7;23;8.5;6;2.2;67;24.8;21;7.8
Lesja;100;48.7;10;4.9;0;0;7;3.4;0;0;70;34.1;7;3.4
Skjåk;74;33.6;6;2.7;0;0;0;0;0;0;36;16.3;19;8.6
Lom;60;25.6;15;6.4;0;0;0;0;6;2.6;22;9.4;12;5.1
Vågå;86;23.5;20;5.5;0;0;6;1.6;10;2.7;27;7.4;21;5.7
Nord-Fron;217;37.8;39;6.8;23;4;22;3.8;19;3.3;73;12.7;42;7.3
Sel;251;42.3;39;6.6;32;5.4;21;3.5;22;3.7;96;16.2;43;7.2
Sør-Fron;80;25.4;14;4.4;12;3.8;9;2.9;6;1.9;21;6.7;19;6
